0.000000,5.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.800000,0.000000,0.000000,0.000000
0.000000,5.000000,4.999999,-0.002550,0.002550,-0.000153,0.999919,-0.007812,-0.007812,0.000000,-0.937500,-0.937500,0.000000,9.797065,-2.500000,-2.500000,0.000000
-0.000689,5.000689,5.002044,-0.029911,0.029896,0.123310,0.998641,-0.038062,-0.038077,-0.000469,-0.976563,-0.976563,-0.056250,14.797065,0.000000,0.000000,-0.150000
-0.003756,5.003755,5.013822,-0.092517,0.092505,0.337963,0.997967,-0.045374,-0.045629,-0.003217,0.571289,0.571289,-0.171094,13.633328,2.500000,2.500000,-0.300000
-0.009635,5.009626,5.035890,-0.133130,0.136650,0.555459,0.999937,-0.012890,-0.005842,-0.008534,1.747136,2.714233,-0.195410,14.838257,2.421073,5.000000,-0.150000
-0.015432,5.016265,5.070074,-0.074108,0.116676,0.813463,0.995175,0.037067,0.090607,-0.013808,2.058311,5.080338,-0.192713,15.355579,2.127645,7.500000,-0.218492
-0.013612,5.019763,5.117542,0.188549,0.008316,1.088159,0.967576,0.086614,0.237207,-0.017512,1.708481,6.571562,-0.265075,17.581009,1.079208,7.443827,-0.368492
0.008654,5.015501,5.178203,0.757836,-0.193443,1.322587,0.908693,0.121035,0.399503,-0.018094,1.209654,7.104335,-0.379026,20.662787,0.797791,7.410781,-0.500000
0.067701,4.999340,5.246556,1.650419,-0.462525,1.369386,0.822143,0.143095,0.551011,-0.017310,1.107937,6.466361,-0.446085,23.215615,1.212984,5.198775,-0.477200
0.177555,4.968641,5.309853,2.770346,-0.772237,1.111154,0.731154,0.161392,0.662664,-0.022502,1.232929,4.736620,-0.474082,25.608997,1.371219,2.698775,-0.500000
0.346023,4.921528,5.352693,3.969232,-1.119575,0.562560,0.661496,0.178542,0.727524,-0.038608,1.443697,2.525467,-0.490281,26.860399,1.702784,0.198775,-0.500000
0.573793,4.855815,5.363246,5.128846,-1.520902,-0.155332,0.628519,0.196815,0.749346,-0.070224,1.815242,0.133784,-0.496355,27.325086,2.261759,-2.301225,-0.500000
0.857289,4.768026,5.337035,6.191262,-2.007518,-0.881495,0.636228,0.217386,0.730300,-0.121869,2.337064,-2.223979,-0.481695,27.167588,2.909089,-4.530244,-0.454831
1.190725,4.653240,5.277472,7.121092,-2.602796,-1.468912,0.676777,0.239366,0.668746,-0.194253,2.930693,-4.229613,-0.408655,26.641329,3.538725,-6.034826,-0.304831
1.566651,4.505836,5.194273,7.885005,-3.311563,-1.813605,0.731811,0.260689,0.563490,-0.281593,3.494979,-5.658828,-0.287742,26.016287,4.030102,-6.837377,-0.155435
1.975633,4.320388,5.101356,8.431999,-4.119088,-1.849482,0.780200,0.278132,0.418597,-0.372910,3.899763,-6.441342,-0.157862,25.472139,4.217655,-6.959832,-0.029601
2.404585,4.093395,5.014915,8.665849,-4.954851,-1.559235,0.805621,0.288538,0.247097,-0.455007,4.044783,-6.574830,-0.055841,25.061147,4.074555,-6.451651,0.028687
2.835364,3.826956,4.949323,8.498168,-5.669913,-1.042593,0.801776,0.290812,0.069336,-0.517820,3.888934,-6.137506,-0.000011,24.708321,3.609338,-5.490753,0.036687
3.248133,3.530791,4.911034,7.962376,-6.129749,-0.500725,0.773442,0.286322,-0.093986,-0.557961,3.452760,-5.282789,0.012613,24.339276,2.912202,-4.289429,0.009189
3.627839,3.218679,4.896878,7.201352,-6.313180,-0.094270,0.732071,0.277975,-0.228535,-0.578714,2.814110,-4.201554,-0.007922,23.928117,2.110064,-3.061737,-0.039865
3.966822,2.903007,4.898566,6.350827,-6.285241,0.133789,0.689549,0.268757,-0.328835,-0.586938,2.082516,-3.078167,-0.047070,23.419751,1.332556,-1.965732,-0.091020
4.262679,2.592372,4.907808,5.483891,-6.122995,0.215605,0.654083,0.260745,-0.396412,-0.589396,1.354551,-2.041123,-0.089036,22.731235,0.641249,-1.054340,-0.129680
4.515426,2.291963,4.918533,4.629264,-5.884100,0.201074,0.629574,0.254833,-0.435954,-0.590756,0.680523,-1.142886,-0.121554,21.833705,0.032678,-0.303679,-0.148655
4.726002,2.004557,4.927067,3.798511,-5.608572,0.134611,0.616965,0.250976,-0.452284,-0.593432,0.072896,-0.382831,-0.135946,20.763081,-0.507918,0.324456,-0.141866
4.895801,1.731212,4.931732,2.999431,-5.326023,0.051501,0.615661,0.248598,-0.449214,-0.598105,-0.465256,0.257544,-0.125252,19.581873,-0.974966,0.853310,-0.103482
5.026615,1.471671,4.932394,2.240695,-5.059946,-0.021875,0.624255,0.246964,-0.429683,-0.604196,-0.922294,0.792817,-0.086321,18.352307,-1.344219,1.287760,-0.035949
5.120720,1.224619,4.930007,1.532982,-4.829237,-0.068422,0.640730,0.245466,-0.396322,-0.610336,-1.280847,1.223437,-0.027975,17.126825,-1.597152,1.611176,0.035687
5.180967,0.987914,4.926134,0.888331,-4.647861,-0.080938,0.662503,0.243665,-0.351975,-0.614983,-1.530338,1.534761,0.042127,15.947955,-1.735286,1.795143,0.116523
5.210801,0.758869,4.922457,0.318158,-4.523530,-0.061607,0.686846,0.241036,-0.300040,-0.616843,-1.671195,1.708361,0.120457,14.847684,-1.769324,1.824107,0.201410
5.214167,0.534589,4.920361,-0.169449,-4.456691,-0.019563,0.711317,0.236979,-0.244441,-0.615219,-1.710588,1.735342,0.201805,13.847985,-1.710825,1.703147,0.283416
5.195283,0.312336,4.920680,-0.572025,-4.441006,0.032979,0.734111,0.231002,-0.189327,-0.610123,-1.659542,1.621518,0.280351,12.960726,-1.574307,1.453274,0.356853
5.158326,0.089813,4.923643,-0.893474,-4.465407,0.084607,0.754229,0.222854,-0.138635,-0.602188,-1.533042,1.385933,0.350944,12.189025,-1.379031,1.105455,0.417596
5.107140,-0.134660,4.928989,-1.143056,-4.516812,0.127282,0.771414,0.212535,-0.095664,-0.592428,-1.349694,1.056864,0.409505,11.530133,-1.146788,0.695400,0.462671
5.045012,-0.362106,4.936156,-1.333362,-4.582388,0.157131,0.785913,0.200235,-0.062785,-0.581960,-1.129891,0.667369,0.453102,10.978712,-0.898823,0.259187,0.490319
4.974562,-0.592947,4.944482,-1.478244,-4.650878,0.173868,0.798173,0.186241,-0.041328,-0.571750,-0.893586,0.251368,0.479993,10.529322,-0.653790,-0.169848,0.500000
4.897718,-0.827088,4.953358,-1.591281,-4.713051,0.179567,0.808602,0.170875,-0.031630,-0.562439,-0.658579,-0.159312,0.492497,10.177553,-0.426766,-0.562967,0.500000
