-0.058694,-50.000000,-50.000000,0.000000
100.000000,50.000000,50.000000,-3.000000
-23.274750,50.000000,50.000000,-3.000000
24.098575,-1.578533,50.000000,3.000000
10.346453,-5.868560,50.000000,-1.369843
44.508592,-20.968754,-1.123464,-3.000000
61.635572,-5.628339,-0.660915,-2.630157
51.056553,8.303872,-44.240129,0.455995
47.867639,3.164691,-50.000000,-0.455995
25.028038,6.631293,-50.000000,0.000000
9.293748,11.179511,-50.000000,0.000000
-3.149960,12.946606,-44.580373,0.903377
-10.525177,12.592714,-30.091632,3.000000
-12.500844,9.827536,-16.051034,2.987914
-10.882973,3.751063,-2.449091,2.516698
-8.219834,-2.861998,10.163610,1.165744
-7.056516,-9.304344,19.217976,0.160013
-7.380905,-13.942724,24.026475,-0.549974
-8.223183,-16.042751,24.553841,-0.981080
-10.167308,-15.550173,21.920087,-1.023093
-13.770320,-13.826133,18.227844,-0.773203
-17.950610,-12.171426,15.013230,-0.379494
-21.412482,-10.811902,12.562699,0.135784
-23.624157,-9.340973,10.577081,0.767678
-24.591307,-7.385049,8.688995,1.350658
-24.509647,-5.058668,6.468325,1.432717
-23.577397,-2.762687,3.679326,1.616714
-22.005422,-0.680751,0.579283,1.697755
-19.993979,1.169977,-2.419197,1.640118
-17.745190,2.730362,-4.997458,1.468740
-15.434024,3.905520,-6.956379,1.214861
-13.177825,4.644852,-8.201090,0.901499
-11.028419,4.959304,-8.724261,0.552962
-8.987810,4.900666,-8.580699,0.193612
-7.035385,4.540485,-7.862390,0.000000
-5.153623,3.959642,-6.682938,-0.000000
-3.345175,3.241427,-5.171145,-0.000001
-1.638823,2.458596,-3.467577,-0.000008
-0.085071,1.666766,-1.716451,-0.162532
1.255493,0.905701,-0.054018,-0.308638
2.327134,0.209620,1.405454,-0.397584
3.092508,-0.395074,2.579977,-0.434244
3.541781,-0.890228,3.424722,-0.426915
3.694282,-1.266226,3.931268,-0.385530
3.593225,-1.522032,4.121534,-0.321045
3.296183,-1.664389,4.039064,-0.244210
2.864903,-1.706104,3.740010,-0.164499
2.357166,-1.663713,3.285315,-0.089451
1.821811,-1.555091,2.734655,-0.024474
1.296747,-1.397491,2.142166,0.027004
0.809099,-1.206299,1.553761,0.063265
0.376552,-0.994500,1.005780,0.084009
0.009145,-0.772703,0.524687,0.090099
-0.288951,-0.549491,0.127512,0.083317
-0.517913,-0.331879,-0.177200,0.066123
-0.681077,-0.125728,-0.388146,0.041390
-0.784023,0.063984,-0.509878,0.012128
-0.833865,0.233055,-0.551368,-0.018773
-0.838673,0.378109,-0.524647,-0.048769
-0.806971,0.496734,-0.443538,-0.075828
-0.747291,0.587645,-0.322579,-0.098523
-0.667784,0.650803,-0.176109,-0.116063
-0.575910,0.687446,-0.017559,-0.128251
-0.478192,0.700006,0.141088,-0.135403
-0.380069,0.691921,0.289675,-0.138221
-0.285830,0.667363,0.420109,-0.137663
-0.198627,0.630915,0.526463,-0.134802
-0.120559,0.587241,0.604973,-0.130704
-0.052804,0.540777,0.653924,-0.126326
0.004214,0.495470,0.673452,-0.122446
