50.820000,0.110397,2.545863
50.832000,0.110397,2.545863
50.848000,0.155975,2.545863
50.864000,0.111050,2.540869
50.880000,0.111050,2.540869
50.892000,0.111050,2.540869
50.908000,0.098258,2.544105
50.924000,0.094976,2.544298
50.940000,0.135338,2.544298
50.952000,0.135338,2.544298
50.968000,0.105648,2.544495
50.984000,0.103534,2.543761
51.000000,0.103534,2.543761
51.012000,0.116000,2.542368
51.028000,0.110461,2.542133
51.044000,0.110461,2.542133
51.060000,0.110461,2.542133
51.072000,0.088665,2.538958
51.088000,0.122178,2.538403
51.104000,0.122178,2.538403
51.120000,0.092102,2.534553
51.132000,0.092102,2.534553
51.148000,0.092102,2.534553
51.164000,0.079459,2.531977
51.180000,0.113158,2.531281
51.192000,0.113158,2.531281
51.208000,0.113158,2.531281
51.224000,0.079451,2.525301
51.240000,0.079451,2.525301
51.252000,0.122310,2.525301
51.268000,0.092385,2.520711
51.284000,0.092385,2.520711
51.300000,0.092385,2.520711
51.312000,0.067921,2.517071
51.328000,0.099006,2.516351
51.344000,0.099006,2.516351
51.360000,0.099006,2.516351
51.372000,0.076414,2.510946
51.388000,0.076414,2.510946
51.404000,0.076414,2.510946
51.420000,0.081456,2.501638
51.432000,0.081456,2.501638
51.448000,0.081456,2.501638
51.464000,0.080234,2.500195
51.480000,0.059438,2.491305
51.492000,0.100750,2.491305
51.508000,0.066789,2.478414
51.524000,0.062013,2.476055
51.540000,0.062013,2.476055
51.552000,0.062013,2.476055
51.568000,0.084693,2.463927
51.584000,0.078153,2.460969
51.600000,0.072000,2.458011
51.612000,0.072000,2.458011
51.628000,0.072000,2.458011
51.644000,0.050134,2.437006
51.660000,0.066864,2.428126
51.672000,0.066864,2.428126
51.688000,0.066864,2.428126
51.704000,0.051033,2.417940
51.720000,0.049861,2.412037
51.732000,0.077433,2.412037
51.748000,0.077433,2.412037
51.764000,0.055199,2.396160
51.780000,0.055199,2.396160
51.792000,0.055199,2.396160
51.808000,0.066684,2.370820
51.824000,0.061670,2.366525
51.840000,0.061670,2.366525
